ID,x0,x1,u0,u1,u2
0,0,0,0,1,2
1,0,0.5,0,1,2
2,0,1,0,1,2
3,0,1.5,0,1,2
4,0,2,0,1,2
5,5,0,0,1,2
6,5,0.5,0,1,2
7,5,1,0,1,2
8,5,1.5,0,1,2
9,5,2,0,1,2
10,10,0,0,1,2
11,10,0.5,0,1,2
12,10,1,0,1,2
13,10,1.5,0,1,2
14,10,2,0,1,2
15,15,0,0,1,2
16,15,0.5,0,1,2
17,15,1,0,1,2
18,15,1.5,0,1,2
19,15,2,0,1,2
20,20,0,0,1,2
21,20,0.5,0,1,2
22,20,1,0,1,2
23,20,1.5,0,1,2
24,20,2,0,1,2
25,25,0,0,1,2
26,25,0.5,0,1,2
27,25,1,0,1,2
28,25,1.5,0,1,2
29,25,2,0,1,2
30,30,0,0,1,2
31,30,0.5,0,1,2
32,30,1,0,1,2
33,30,1.5,0,1,2
34,30,2,0,1,2
35,35,0,0,1,2
36,35,0.5,0,1,2
37,35,1,0,1,2
38,35,1.5,0,1,2
39,35,2,0,1,2
40,40,0,0,1,2
41,40,0.5,0,1,2
42,40,1,0,1,2
43,40,1.5,0,1,2
44,40,2,0,1,2
45,45,0,0,1,2
46,45,0.5,0,1,2
47,45,1,0,1,2
48,45,1.5,0,1,2
49,45,2,0,1,2
50,50,0,0,1,2
51,50,0.5,0,1,2
52,50,1,0,1,2
53,50,1.5,0,1,2
54,50,2,0,1,2